휴게음식점,핸즈커피성북교점,대구광역시 북구 침산로 198  1 2층 (침산동),대구광역시 북구 침산동 531-5 ,2021-07-14
일반음식점,화반정롯데백화점대구점,대구광역시 북구 태평로 161  롯데백화점 대구역 지하2층 (칠성동2가),대구광역시 북구 칠성동2가 302-403 롯데백화점 대구역 ,2021-07-14
제과점영업,파리바게뜨매천점,대구광역시 북구 학정로 50 (태전동),대구광역시 북구 태전동 1112 ,2021-07-14
일반음식점,피자알볼로복현점,대구광역시 북구 동북로 265-1  1층 (복현동),대구광역시 북구 복현동 340-4 ,2021-07-14
일반음식점,연이퓨전포차,대구광역시 북구 대동로1길 66-1 (산격동),대구광역시 북구 산격동 1284-10 ,2021-07-14
일반음식점,노전해물포차,대구광역시 북구 관음동로 73  1층 (관음동),대구광역시 북구 관음동 1340-12 ,2021-07-14
일반음식점,한솔정,대구광역시 북구 침산로21길 23  105동 104호 (칠성동2가  침산1차푸르지오상가),대구광역시 북구 칠성동2가 2-2 105동 104호,2021-07-14
일반음식점,앞치마입는남자,대구광역시 북구 산격로10길 37  1층 (산격동),대구광역시 북구 산격동 1312-10 ,2021-07-14
일반음식점,조선팔도김치찜,대구광역시 북구 태암로18길 9  1층 (구암동),대구광역시 북구 구암동 682-7 ,2021-07-14
일반음식점,먹방피자,대구광역시 북구 학남로17길 8  1층 (국우동),대구광역시 북구 국우동 1096-16 ,2021-07-14
일반음식점,큰마당식당,대구광역시 북구 동화천로 65-57 (서변동),대구광역시 북구 서변동 358 ,2021-07-14
휴게음식점,GS25 칠곡중앙대로점,대구광역시 북구 칠곡중앙대로 391  1층 (태전동),대구광역시 북구 태전동 961-23 ,2021-07-14
일반음식점,시골돼지국밥,대구광역시 북구 태전로 8  1층 (태전동),대구광역시 북구 태전동 151-9 ,2021-07-14
휴게음식점,몬드(MOND),대구광역시 북구 학정로 551-17  1층 (학정동),대구광역시 북구 학정동 368-14 ,2021-07-14
일반음식점,진성참치(태전점),대구광역시 북구 태암로 19-2 (태전동),대구광역시 북구 태전동 1023-13 ,2021-07-14
일반음식점,한옥집,대구광역시 북구 동북로37길 14-18 (산격동),대구광역시 북구 산격동 495-52 ,2021-07-14
