구분,주차허용시작점,주차허용종료점,허용면,총거리(m),평일운영시작시간,평일운영종료시각,토요일운영시작시간,토요일운영종료,"일, 공휴일운영시작시간","일, 공휴일 운영종료시간",금지차량
성서서,달서 이곡동 성서국민체육센타 주변,달서 이곡동 성서 한빛아파트 315동 앞,양측,260,20:00,7:00,20:00,7:00,0:00,0:00,
성서서,성서 국민체육센타,성서 공원 전체,양측,600,"09:00, 20:00","17:00, 07:00",0:00,0:00,0:00,0:00,1.5톤이상 차량
성서서,두류 4R,두류공원 4R,양측,1440,"11:00, 20:30","15:00, 07:00",0:00,1:00,2:00,3:00,
성서서,본리4R,와룡4R,양측,2190,"12:00, 22:00","14:00, 07:00","12:00, 22:00","14:00, 07:00",0:00,0:00,(1.5톤이하 조업화물차량 15분내 항시허용)
성서서,본리 현대백조108동, 본리파출소4R,양측,500,"11:00, 20:00","16:00, 07:00",0:00,0:00,0:00,0:00,
성서서,강창역 삼거리,희성 네거리,양측,850,"11:00, 20:00","15:00, 07:00","11:00, 20:00","15:00, 07:00",0:00,0:00,
성서서,이곡역 4R,선원 공원 3R,양측,770,"11:00, 20:00","15:00, 07:00","11:00, 20:00","15:00, 07:00",0:00,0:00,
성서서,호림동 21-3번지,모다아울렛 남성점,편측,300,23:00,7:00,,,,,"1.5톤이상 화물차, 15인이상승합차"
성서서,용산동 홈플러스,죽전 네거리,양측,1050,23:00,6:00,,,,,
성서서,본리초등 북편,본리초등 동편,양측,330,"09:00, 17:00","12:00, 07:00",0:00,0:00,0:00,0:00,"1.1톤이상 화물차, 16인이상승합차"
성서서,본리초등네거리,성당주공네거리,양측,620,22:00,7:00,,,,,
성서서,성서 네거리,용산동 홈플러스,양측,1750,23:00,6:00,,,,,
성서서,신당 네거리,성서 네거리,양측,1300,22:00,7:00,,,,,
성서서,강창교 3R ,신당 4R,양측,1530,22:00,7:00,,,,,
성서서,성당 4R,두류공원 4R,양측,1300,23:00,6:00,,,,,"1.5톤이상 화물차, 30인이상승합차"
성서서,달서구 호림동 16 번지 모다아웃렛 서편,달서구 호림동 16 번지 모다아웃렛 북편 주변 일대,양측,1600,22:00,7:00,0:00,0:00,0:00,0:00,
성서서,달서구 호림동 15-17번지,달서구 호림동 15-17번지 북편,양측,1600,22:00,7:00,0:00,0:00,0:00,0:00,
성서서,달서구 두류동 동산,두류테니스장,양측,740,"11:30, 20:00","14:00, 07:00",0:00,0:00,0:00,0:00,"1.5톤이상 화물차, 15인이상승합차"
성서서,계명문화대 동편 삼거리,성서주공505동 ,양측,5000,"12:00, 20:00","14:00, 07:00 (노상주차장제외)","12:00, 20:00","14:00, 07:00",0:00,0:00,(1.5톤이하화물조업화물차 15분내항시허용)
성서서,달서구 이곡동 1226,달서구 이곡동 1306-1,양측,700,"12:00, 20:00","14:00, 07:00 ",,,,,"1.4톤이상 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
성서서,달서구 야외음악당로 237,달서구 야외음악당로285,양측,1000,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤이상 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
성서서,성서로 352,성서공단네거리 북편,양측,3200,"11:00, 20:00","14:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤이상 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
성서서,성서 주공 1단지 앞,갈산공원네거리,양측,1600,0:00,0:00,,,,,"1.4톤이상 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
성서서,달서대로109길(세원정공3R),달서대로109길(아세아스틸),양측,3340,0:00,0:00,,,,,"1.4톤초과화물차,30인초과승합차"
성서서,성서공단북로3길(아세아스틸),성서공단북로3길(금성정공),양측,1440,0:00,0:00,,,,,"1.4톤초과화물차,30인초과승합차"
성서서,달서대로95길(금성정공),달서대로95길(오사카 식당),양측,2800,0:00,0:00,,,,,"1.4톤초과화물차,30인초과승합차"
성서서,성서공단북로(희성전자야구장 동북편),성서공단북로(희성전자야구장 동남편) ,양측,860,0:00,0:00,,,,,"1.4톤초과화물차,30인초과승합차"
성서서,호산동로(대백마트),호산동로(비에스터),양측,850,0:00,0:00,,,,,"1.4톤초과화물차,30인초과승합차"
